month_start,year_month,report_category,manufacturer_bucket,spend
2023-10-01,2023-10,CT,GE,4402971.5
2023-10-01,2023-10,CT,OTHER,5483310.564000001
2023-10-01,2023-10,MRI,GE,3175552.58
2023-10-01,2023-10,MRI,OTHER,13639945.4
2023-10-01,2023-10,Monitoring,GE,1746338.6430000002
2023-10-01,2023-10,Monitoring,OTHER,26154660.323999997
2023-11-01,2023-11,CT,GE,7232807.609999999
2023-11-01,2023-11,CT,OTHER,14963204.183999997
2023-11-01,2023-11,MRI,GE,1414691.7100000002
2023-11-01,2023-11,MRI,OTHER,9524698.49
2023-11-01,2023-11,Monitoring,GE,2551388.1550000003
2023-11-01,2023-11,Monitoring,OTHER,18376398.930999998
2023-12-01,2023-12,CT,GE,6037677.5200000005
2023-12-01,2023-12,CT,OTHER,24069246.044999994
2023-12-01,2023-12,MRI,GE,4748144.17
2023-12-01,2023-12,MRI,OTHER,13975462.243999999
2023-12-01,2023-12,Monitoring,GE,12784629.899
2023-12-01,2023-12,Monitoring,OTHER,27158668.13700001
2024-01-01,2024-01,CT,GE,2054680.09
2024-01-01,2024-01,CT,OTHER,10169018.683999998
2024-01-01,2024-01,MRI,GE,5562930.459999999
2024-01-01,2024-01,MRI,OTHER,3602430.65
2024-01-01,2024-01,Monitoring,GE,2256017.013
2024-01-01,2024-01,Monitoring,OTHER,23871302.196
2024-02-01,2024-02,CT,GE,1902929.75
2024-02-01,2024-02,CT,OTHER,11643527.873000002
2024-02-01,2024-02,MRI,GE,3314718.849999999
2024-02-01,2024-02,MRI,OTHER,4705089.654999999
2024-02-01,2024-02,Monitoring,GE,3654476.5780000007
2024-02-01,2024-02,Monitoring,OTHER,20176117.2
2024-03-01,2024-03,CT,GE,1426594.6099999999
2024-03-01,2024-03,CT,OTHER,8800308.638999999
2024-03-01,2024-03,MRI,GE,2513438.5
2024-03-01,2024-03,MRI,OTHER,6412353.689999998
2024-03-01,2024-03,Monitoring,GE,5031449.9350000005
2024-03-01,2024-03,Monitoring,OTHER,24185360.252
2024-04-01,2024-04,CT,GE,4929364.42
2024-04-01,2024-04,CT,OTHER,16598029.555
2024-04-01,2024-04,MRI,GE,4732486.58
2024-04-01,2024-04,MRI,OTHER,9744500.879999999
2024-04-01,2024-04,Monitoring,GE,3533801.595000001
2024-04-01,2024-04,Monitoring,OTHER,24786826.358000014
2024-05-01,2024-05,CT,GE,1919265.2100000004
2024-05-01,2024-05,CT,OTHER,15173470.701000001
2024-05-01,2024-05,MRI,GE,7015649.360000001
2024-05-01,2024-05,MRI,OTHER,13891010.799999999
2024-05-01,2024-05,Monitoring,GE,4806801.0030000005
2024-05-01,2024-05,Monitoring,OTHER,25320179.878000006
2024-06-01,2024-06,CT,GE,14915172.855
2024-06-01,2024-06,CT,OTHER,13405087.649000004
2024-06-01,2024-06,MRI,GE,3600994.51
2024-06-01,2024-06,MRI,OTHER,8362905.58
2024-06-01,2024-06,Monitoring,GE,2853075.0790000004
2024-06-01,2024-06,Monitoring,OTHER,32317605.831000008
2024-07-01,2024-07,CT,GE,4567281.339999999
2024-07-01,2024-07,CT,OTHER,11900579.055000002
2024-07-01,2024-07,MRI,GE,3596741.1999999997
2024-07-01,2024-07,MRI,OTHER,5504610.53
2024-07-01,2024-07,Monitoring,GE,2422590.759
2024-07-01,2024-07,Monitoring,OTHER,25212053.627000008
2024-08-01,2024-08,CT,GE,4507576.48
2024-08-01,2024-08,CT,OTHER,15448691.028999997
2024-08-01,2024-08,MRI,GE,2438970.9899999998
2024-08-01,2024-08,MRI,OTHER,5835673.109999999
2024-08-01,2024-08,Monitoring,GE,8129778.714000005
2024-08-01,2024-08,Monitoring,OTHER,19456907.496999994
2024-09-01,2024-09,CT,GE,5685952.819999999
2024-09-01,2024-09,CT,OTHER,18382033.959
2024-09-01,2024-09,MRI,GE,2654034.73
2024-09-01,2024-09,MRI,OTHER,11642229.31
2024-09-01,2024-09,Monitoring,GE,10150045.577999996
2024-09-01,2024-09,Monitoring,OTHER,28576483.939000007
2024-10-01,2024-10,CT,GE,2878764.9999999995
2024-10-01,2024-10,CT,OTHER,12602371.882000001
2024-10-01,2024-10,MRI,GE,3201721.0220000003
2024-10-01,2024-10,MRI,OTHER,13492674.57
2024-10-01,2024-10,Monitoring,GE,3778414.8270000005
2024-10-01,2024-10,Monitoring,OTHER,25441988.006000005
2024-11-01,2024-11,CT,GE,2420013.46
2024-11-01,2024-11,CT,OTHER,13743982.132999998
2024-11-01,2024-11,MRI,GE,3506432.5100000002
2024-11-01,2024-11,MRI,OTHER,7792669.65
2024-11-01,2024-11,Monitoring,GE,3103855.152999999
2024-11-01,2024-11,Monitoring,OTHER,28516796.765
2024-12-01,2024-12,CT,GE,8767087.86
2024-12-01,2024-12,CT,OTHER,17959281.464999996
2024-12-01,2024-12,MRI,GE,1798802.9799999997
2024-12-01,2024-12,MRI,OTHER,10408965.560000002
2024-12-01,2024-12,Monitoring,GE,3513381.636000001
2024-12-01,2024-12,Monitoring,OTHER,34822103.051
2025-01-01,2025-01,CT,GE,429469.8100000001
2025-01-01,2025-01,CT,OTHER,12845300.559000004
2025-01-01,2025-01,MRI,GE,8431748.62
2025-01-01,2025-01,MRI,OTHER,12935293.129999999
2025-01-01,2025-01,Monitoring,GE,8084349.348999999
2025-01-01,2025-01,Monitoring,OTHER,26797059.664000005
2025-02-01,2025-02,CT,GE,9960223.18
2025-02-01,2025-02,CT,OTHER,16424850.824000001
2025-02-01,2025-02,MRI,GE,5387065.45
2025-02-01,2025-02,MRI,OTHER,20306571.129999995
2025-02-01,2025-02,Monitoring,GE,3640423.7599999993
2025-02-01,2025-02,Monitoring,OTHER,27477020.44000001
