quarter_start,calendar_quarter,report_category,bucket,spend
2023-10-01,2023-Q4,CT,GE,16349857.570000699
2023-10-01,2023-Q4,CT,OTHER,35804033.4300012
2023-10-01,2023-Q4,MRI,GE,14786971.8900006
2023-10-01,2023-Q4,MRI,OTHER,32288585.660000116
2023-10-01,2023-Q4,Monitoring,GE,35205217.22478099
2023-10-01,2023-Q4,Monitoring,OTHER,77644590.4819643
2024-01-01,2024-Q1,CT,GE,11886239.23
2024-01-01,2024-Q1,CT,OTHER,42249585.433332704
2024-01-01,2024-Q1,MRI,GE,14834286.270000901
2024-01-01,2024-Q1,MRI,OTHER,42990479.73250091
2024-01-01,2024-Q1,Monitoring,GE,19650690.3333375
2024-01-01,2024-Q1,Monitoring,OTHER,98667035.87796853
2024-04-01,2024-Q2,CT,GE,13648513.3899999
2024-04-01,2024-Q2,CT,OTHER,46059437.28333472
2024-04-01,2024-Q2,MRI,GE,13547004.570000004
2024-04-01,2024-Q2,MRI,OTHER,49674304.820000105
2024-04-01,2024-Q2,Monitoring,GE,31248022.9481753
2024-04-01,2024-Q2,Monitoring,OTHER,85373558.6556672
2024-07-01,2024-Q3,CT,GE,16888751.70000059
2024-07-01,2024-Q3,CT,OTHER,42883388.15000072
2024-07-01,2024-Q3,MRI,GE,22099054.7200006
2024-07-01,2024-Q3,MRI,OTHER,44819092.9733351
2024-07-01,2024-Q3,Monitoring,GE,26022121.2300056
2024-07-01,2024-Q3,Monitoring,OTHER,83296284.06004724
2024-10-01,2024-Q4,CT,GE,13653655.7599999
2024-10-01,2024-Q4,CT,OTHER,58599324.91333398
2024-10-01,2024-Q4,MRI,GE,29536632.9200005
2024-10-01,2024-Q4,MRI,OTHER,57122403.6900023
2024-10-01,2024-Q4,Monitoring,GE,31446383.0933378
2024-10-01,2024-Q4,Monitoring,OTHER,89649599.69004995
2025-01-01,2025-Q1,CT,GE,13517267.030001394
2025-01-01,2025-Q1,CT,OTHER,41818977.92666797
2025-01-01,2025-Q1,MRI,GE,15707187.910003604
2025-01-01,2025-Q1,MRI,OTHER,48261823.81000121
2025-01-01,2025-Q1,Monitoring,GE,25476161.806671403
2025-01-01,2025-Q1,Monitoring,OTHER,65058234.33005423
2025-04-01,2025-Q2,CT,GE,19767976.870002
2025-04-01,2025-Q2,CT,OTHER,40920260.010001704
2025-04-01,2025-Q2,MRI,GE,24171087.089999195
2025-04-01,2025-Q2,MRI,OTHER,50498135.75000172
2025-04-01,2025-Q2,Monitoring,GE,17727592.470001996
2025-04-01,2025-Q2,Monitoring,OTHER,80253177.66002049
2025-07-01,2025-Q3,CT,GE,17113000.8700019
2025-07-01,2025-Q3,CT,OTHER,61815772.64000239
2025-07-01,2025-Q3,MRI,GE,15384574.530001398
2025-07-01,2025-Q3,MRI,OTHER,35879876.640001
2025-07-01,2025-Q3,Monitoring,GE,33420199.420004692
2025-07-01,2025-Q3,Monitoring,OTHER,82643927.26337166
